0.3818,-0.3569,-0.0746,-0.4128,0.3171,-0.1832,0.2077,0.4752,-0.2651,-0.2344
-0.3569,0.3808,-0.0665,0.3954,-0.3154,0.2497,-0.1496,-0.4262,0.2152,0.1556
-0.0746,-0.0665,0.4142,0.0535,-0.0078,-0.1941,-0.1714,-0.1489,0.1495,0.2341
-0.4128,0.3954,0.0535,0.539,-0.3887,0.2076,-0.2516,-0.553,0.2999,0.2968
0.3171,-0.3154,-0.0078,-0.3887,0.2923,-0.1799,0.1692,0.4063,-0.2161,-0.1941
-0.1832,0.2497,-0.1941,0.2076,-0.1799,0.2229,-0.0245,-0.1959,0.0726,0.0005
0.2077,-0.1496,-0.1714,-0.2516,0.1692,-0.0245,0.1748,0.2963,-0.1864,-0.2127
0.4752,-0.4262,-0.1489,-0.553,0.4063,-0.1959,0.2963,0.6269,-0.3591,-0.3453
-0.2651,0.2152,0.1495,0.2999,-0.2161,0.0726,-0.1864,-0.3591,0.2195,0.2196
-0.2344,0.1556,0.2341,0.2968,-0.1941,0.0005,-0.2127,-0.3453,0.2196,0.27
